Composition_ID,Mo_mp,Nb_mp,Ti_mp,Zr_mp,T_eutectic,T_solvus,difference
0,5,5,35,50,1796.661751,1961.713438,165.051687
1,5,5,40,45,1800.566441,1991.990504,191.424063
2,5,5,45,40,1806.245963,2016.600238,210.354275
3,5,5,50,35,1813.899813,2034.621612,220.721799
4,5,10,30,50,1816.819411,2006.624845,189.805434
5,5,10,35,45,1818.451808,2039.661953,221.210145
6,5,10,40,40,1824.406164,2066.879951,242.473787
7,5,10,45,35,1832.553949,2087.507292,254.953343
8,5,10,50,30,1843.720176,2119.709609,275.989433
9,5,15,25,50,1838.909992,2037.800657,198.890665
10,5,15,30,45,1837.594421,2075.121654,237.527233
11,5,15,35,40,1838.60784,2110.431033,271.823193
12,5,15,40,35,1846.422447,2150.690184,304.267737
13,5,15,45,30,1857.878934,2190.498718,332.619784
14,5,15,50,25,1876.1202,2230.002314,353.882114
15,5,20,20,50,1857.968542,2088.557447,230.588905
16,5,20,25,45,1857.884632,2125.216113,267.331481
17,5,20,30,40,1858.08923,2162.562839,304.473609
18,5,20,35,35,1860.320414,2200.189664,339.86925
19,5,20,40,30,1870.732173,2237.924033,367.19186
20,5,20,45,25,1890.211109,2275.784198,385.573089
21,5,20,50,20,1923.441448,2313.92612,390.484672
22,5,25,15,50,1872.426832,2141.010726,268.583894
23,5,25,20,45,1875.559042,2171.747486,296.188444
24,5,25,25,40,1877.623779,2204.190163,326.566384
25,5,25,30,35,1880.503755,2237.905905,357.40215
26,5,25,35,30,1886.380254,2272.573475,386.193221
27,5,25,40,25,1886.380254,2272.573475,386.193221
28,5,25,45,20,1935.30993,2344.340693,409.030763
29,5,25,50,15,1980.927783,2381.607968,400.680185
30,5,30,10,50,1878.61944,2191.423996,312.804556
31,5,30,15,45,1888.74784,2215.285346,326.537506
32,5,30,20,40,1894.732556,2241.543134,346.810578
33,5,30,25,35,1900.39103,2270.027041,369.636011
34,5,30,30,30,1908.346448,2300.466763,392.120315
35,5,30,35,25,1921.714244,2332.624399,410.910155
36,5,30,40,20,1944.957197,2366.377707,421.42051
37,5,30,45,15,1979.301055,2401.740817,422.439762
38,5,30,50,10,2012.56282,2438.849094,426.286274
39,5,35,5,50,1862.465961,2241.783239,379.317278
40,5,35,10,45,1893.323839,2258.745453,365.421614
41,5,35,15,40,1907.261862,2278.276565,371.014703
42,5,35,20,35,1917.829411,2300.582659,382.753248
43,5,35,25,30,1929.806334,2325.689561,395.883227
44,5,35,30,25,1946.964624,2353.488319,406.523695
45,5,35,35,20,1973.372843,2383.834585,410.461742
46,5,35,40,15,2011.591816,2416.639104,405.047288
47,5,35,45,10,2057.131698,2451.912829,394.781131
